Muestra;Código;Punto;Lugar de muestreo;Dirección;200;202,5;205;207,5;210;212,5;215;217,5;220;222,5;225;227,5;230;232,5;235;237,5;240;242,5;245;247,5;250;252,5;255;257,5;260;262,5;265;267,5;270;272,5;275;277,5;280;282,5;285;287,5;290;292,5;295;297,5;300;302,5;305;307,5;310;312,5;315;317,5;320;322,5;325;327,5;330;332,5;335;337,5;340;342,5;345;347,5;350;352,5;355;357,5;360;362,5;365;367,5;370;372,5;375;377,5;380;382,5;385;387,5;390;392,5;395;397,5;400;402,5;405;407,5;410;412,5;415;417,5;420;422,5;425;427,5;430;432,5;435;437,5;440;442,5;445;447,5;450;452,5;455;457,5;460;462,5;465;467,5;470;472,5;475;477,5;480;482,5;485;487,5;490;492,5;495;497,5;500;502,5;505;507,5;510;512,5;515;517,5;520;522,5;525;527,5;530;532,5;535;537,5;540;542,5;545;547,5;550;552,5;555;557,5;560;562,5;565;567,5;570;572,5;575;577,5;580;582,5;585;587,5;590;592,5;595;597,5;600;602,5;605;607,5;610;612,5;615;617,5;620;622,5;625;627,5;630;632,5;635;637,5;640;642,5;645;647,5;650;652,5;655;657,5;660;662,5;665;667,5;670;672,5;675;677,5;680;682,5;685;687,5;690;692,5;695;697,5;700;702,5;705;707,5;710;712,5;715;717,5;720;722,5;725;727,5;730;732,5;735
;;;MilliQ1;;11,875;11,254;10,676;10,079;9,553;9,167;8,934;8,788;8,672;8,564;8,484;8,395;8,24;8,079;7,954;7,842;7,725;7,586;7,455;7,318;7,179;7,065;6,987;6,946;6,875;6,778;6,727;6,696;6,653;6,596;6,52;6,47;6,435;6,379;6,31;6,253;6,201;6,148;6,116;6,062;5,987;5,926;5,875;5,83;5,776;5,715;5,656;5,605;5,569;5,532;5,494;5,449;5,403;5,362;5,323;5,272;5,233;5,222;5,184;5,134;5,105;5,1;5,061;5,029;5,023;4,969;4,906;4,867;4,849;4,819;4,799;4,782;4,76;4,753;4,739;4,711;4,69;4,672;4,644;4,623;4,591;4,577;4,563;4,505;4,435;4,392;4,386;4,369;4,308;4,264;4,252;4,236;4,205;4,182;4,149;4,114;4,112;4,095;4,069;4,047;4,01;3,991;3,979;3,974;3,958;3,912;3,876;3,856;3,853;3,848;3,821;3,789;3,777;3,779;3,767;3,764;3,747;3,688;3,659;3,684;3,654;3,618;3,635;3,622;3,584;3,559;3,563;3,539;3,524;3,529;3,503;3,495;3,523;3,473;3,432;3,435;3,426;3,422;3,378;3,374;3,367;3,325;3,316;3,327;3,308;3,256;3,247;3,27;3,266;3,247;3,237;3,205;3,183;3,176;3,146;3,16;3,163;3,138;3,136;3,142;3,146;3,105;3,082;3,082;3,064;3,05;3,04;3,025;3,011;3,024;3,017;2,98;2,947;2,981;3,055;3,013;2,932;2,903;2,909;2,948;2,959;2,899;2,835;2,873;2,896;2,843;2,844;2,885;2,873;2,828;2,801;2,826;2,858;2,83;2,808;2,82;2,801;2,748;2,698;2,692;2,739;2,775;2,724;2,709;2,749;2,738;2,707;2,672;2,643;2,635;2,669;2,675;2,627;2,599;2,606
;;;MilliQ2;;9,99;9,599;9,174;8,73;8,366;8,123;8,005;7,959;7,915;7,866;7,856;7,813;7,679;7,555;7,471;7,391;7,299;7,177;7,063;6,94;6,812;6,715;6,65;6,613;6,542;6,446;6,402;6,378;6,335;6,28;6,213;6,172;6,144;6,098;6,039;5,99;5,954;5,907;5,886;5,845;5,772;5,722;5,681;5,643;5,592;5,531;5,481;5,434;5,405;5,368;5,326;5,285;5,242;5,205;5,171;5,119;5,081;5,077;5,042;4,987;4,951;4,96;4,925;4,895;4,899;4,839;4,767;4,73;4,715;4,697;4,686;4,653;4,612;4,61;4,593;4,564;4,555;4,532;4,504;4,491;4,466;4,459;4,438;4,375;4,304;4,265;4,264;4,252;4,19;4,15;4,152;4,135;4,104;4,074;4,045;4,014;4,006;3,989;3,966;3,948;3,909;3,892;3,879;3,871;3,859;3,809;3,776;3,754;3,752;3,747;3,716;3,687;3,684;3,689;3,668;3,663;3,648;3,588;3,564;3,582;3,551;3,525;3,544;3,527;3,49;3,463;3,462;3,446;3,439;3,433;3,397;3,399;3,432;3,382;3,337;3,341;3,344;3,344;3,286;3,268;3,264;3,233;3,238;3,25;3,215;3,168;3,16;3,182;3,172;3,159;3,156;3,099;3,082;3,089;3,055;3,073;3,079;3,055;3,044;3,042;3,05;3,017;2,986;2,991;2,976;2,957;2,949;2,929;2,93;2,951;2,935;2,9;2,859;2,888;2,961;2,911;2,84;2,814;2,821;2,856;2,864;2,814;2,749;2,793;2,819;2,755;2,746;2,779;2,776;2,743;2,717;2,744;2,779;2,744;2,716;2,713;2,691;2,657;2,631;2,625;2,658;2,678;2,63;2,622;2,666;2,655;2,627;2,589;2,551;2,532;2,575;2,599;2,543;2,516;2,538
133;1910974;DIP_E_03;Cerdanyola del Vallès DIP_E_03;DIP_E_03/ Dipòsit Cerdanyola: Renaixement, 48. Armari presa de mostres (Cerdanyola del Vallès);41,573;39,852;37,938;35,153;31,788;28,494;25,549;22,68;19,948;17,375;14,899;12,998;11,795;10,797;9,863;9,206;8,798;8,501;8,283;8,075;7,886;7,728;7,605;7,525;7,417;7,284;7,198;7,133;7,054;6,966;6,867;6,792;6,737;6,668;6,582;6,508;6,443;6,376;6,331;6,26;6,164;6,085;6,015;5,949;5,88;5,801;5,725;5,659;5,606;5,552;5,5;5,443;5,389;5,34;5,289;5,231;5,19;5,167;5,117;5,065;5,029;5,021;4,987;4,952;4,935;4,876;4,806;4,767;4,754;4,726;4,709;4,692;4,672;4,682;4,69;4,664;4,648;4,637;4,617;4,609;4,578;4,564;4,553;4,495;4,401;4,325;4,293;4,259;4,199;4,159;4,146;4,122;4,091;4,073;4,038;3,999;4;3,986;3,956;3,939;3,907;3,882;3,868;3,863;3,839;3,794;3,764;3,745;3,743;3,743;3,714;3,673;3,667;3,683;3,667;3,654;3,639;3,581;3,549;3,565;3,546;3,52;3,532;3,517;3,472;3,443;3,456;3,442;3,422;3,424;3,393;3,388;3,428;3,376;3,329;3,335;3,319;3,321;3,295;3,282;3,255;3,218;3,218;3,238;3,218;3,16;3,154;3,181;3,165;3,139;3,135;3,109;3,089;3,078;3,053;3,067;3,062;3,035;3,037;3,045;3,043;3,004;2,985;2,989;2,968;2,945;2,938;2,926;2,914;2,924;2,921;2,901;2,864;2,886;2,955;2,911;2,836;2,801;2,804;2,85;2,869;2,808;2,747;2,79;2,805;2,744;2,742;2,783;2,774;2,741;2,711;2,73;2,77;2,745;2,711;2,719;2,715;2,668;2,605;2,596;2,657;2,699;2,644;2,622;2,661;2,647;2,611;2,578;2,545;2,537;2,575;2,583;2,533;2,505;2,517
134;1926019;24-febr;Camí del Bosc, 24-2;Camí del Bosc, 24-26 - Urb. Mas Ram - Xarxa Distribució Dipòsit nº3;50,97;52,547;53,081;51,358;48,792;47,057;46,46;46,742;47,477;47,44;45,205;40,635;34,161;26,199;18,907;14,11;11,318;9,776;8,924;8,298;7,893;7,606;7,404;7,291;7,173;7,05;6,985;6,94;6,879;6,81;6,735;6,689;6,664;6,623;6,566;6,519;6,485;6,446;6,421;6,37;6,289;6,218;6,152;6,08;5,997;5,9;5,807;5,719;5,643;5,565;5,49;5,418;5,354;5,296;5,24;5,181;5,136;5,112;5,064;5,011;4,977;4,973;4,94;4,905;4,888;4,827;4,758;4,724;4,708;4,684;4,674;4,653;4,632;4,647;4,655;4,629;4,618;4,604;4,585;4,58;4,549;4,543;4,534;4,468;4,372;4,299;4,267;4,232;4,17;4,134;4,125;4,096;4,064;4,051;4,018;3,976;3,975;3,963;3,936;3,922;3,891;3,863;3,844;3,844;3,824;3,777;3,745;3,729;3,727;3,727;3,699;3,652;3,652;3,671;3,652;3,639;3,623;3,568;3,531;3,545;3,532;3,51;3,522;3,504;3,456;3,432;3,443;3,43;3,414;3,409;3,378;3,378;3,421;3,366;3,318;3,325;3,31;3,314;3,288;3,268;3,235;3,205;3,214;3,238;3,21;3,152;3,153;3,178;3,151;3,121;3,122;3,101;3,087;3,075;3,041;3,053;3,056;3,033;3,032;3,036;3,031;2,998;2,979;2,982;2,964;2,935;2,925;2,919;2,907;2,919;2,916;2,893;2,858;2,878;2,942;2,9;2,84;2,8;2,791;2,839;2,863;2,804;2,739;2,78;2,796;2,739;2,744;2,781;2,768;2,732;2,702;2,721;2,766;2,744;2,706;2,709;2,708;2,666;2,604;2,594;2,66;2,702;2,641;2,615;2,657;2,644;2,607;2,574;2,545;2,537;2,572;2,585;2,534;2,499;2,514
135;1911454;DIP_A_19;Sant Climent de Llobregat, DIP_A_19;DIP_A_19/ Dipòsit Sant Climent II: davant dipòsit petit (boca) (Sant Climent de Llobregat);49,246;50,354;50,141;47,712;44,348;41,809;40,47;39,411;37,272;32,81;26,574;21,283;17,881;14,896;12,089;10,219;9,164;8,537;8,164;7,857;7,619;7,441;7,31;7,228;7,119;6,996;6,929;6,875;6,802;6,722;6,636;6,576;6,533;6,475;6,398;6,332;6,28;6,225;6,186;6,12;6,034;5,962;5,898;5,835;5,764;5,682;5,604;5,537;5,484;5,428;5,371;5,311;5,259;5,213;5,163;5,107;5,066;5,045;5,001;4,948;4,916;4,919;4,888;4,854;4,838;4,778;4,711;4,676;4,659;4,637;4,63;4,609;4,586;4,599;4,604;4,576;4,566;4,551;4,528;4,524;4,493;4,486;4,481;4,408;4,306;4,238;4,208;4,171;4,109;4,076;4,066;4,032;4,001;3,99;3,961;3,917;3,914;3,9;3,873;3,861;3,834;3,8;3,776;3,781;3,765;3,717;3,682;3,664;3,657;3,657;3,637;3,592;3,588;3,606;3,589;3,577;3,562;3,505;3,464;3,48;3,464;3,442;3,459;3,44;3,394;3,367;3,369;3,358;3,349;3,342;3,31;3,313;3,356;3,303;3,258;3,268;3,251;3,248;3,224;3,201;3,166;3,143;3,153;3,175;3,141;3,088;3,089;3,111;3,082;3,053;3,057;3,033;3,022;3,013;2,972;2,979;2,991;2,966;2,959;2,968;2,963;2,928;2,907;2,913;2,901;2,87;2,856;2,851;2,839;2,858;2,853;2,826;2,792;2,804;2,859;2,823;2,774;2,735;2,72;2,764;2,791;2,735;2,669;2,709;2,729;2,677;2,679;2,711;2,694;2,66;2,632;2,655;2,703;2,679;2,628;2,632;2,638;2,594;2,53;2,524;2,594;2,634;2,57;2,542;2,59;2,575;2,534;2,507;2,483;2,472;2,502;2,521;2,464;2,427;2,458
136;1911484;TRACTADA_C2;Sant Joan Despí, TRACTADA_C2;NO HAY ANALÍTICA (?);48,917;50,038;49,699;47,005;43,59;40,939;39,398;37,943;35,283;30,616;24,654;19,745;16,638;13,963;11,449;9,77;8,826;8,257;7,917;7,636;7,413;7,251;7,129;7,05;6,941;6,821;6,756;6,7;6,626;6,546;6,461;6,402;6,362;6,307;6,234;6,172;6,125;6,083;6,051;5,989;5,911;5,847;5,792;5,74;5,678;5,599;5,529;5,471;5,424;5,376;5,322;5,267;5,222;5,179;5,134;5,081;5,041;5,025;4,984;4,932;4,901;4,907;4,875;4,846;4,833;4,77;4,701;4,665;4,651;4,63;4,623;4,605;4,579;4,593;4,602;4,574;4,565;4,55;4,525;4,522;4,492;4,493;4,487;4,405;4,303;4,237;4,205;4,17;4,109;4,076;4,066;4,03;4;3,99;3,962;3,92;3,916;3,9;3,875;3,863;3,833;3,801;3,779;3,785;3,767;3,721;3,683;3,661;3,654;3,653;3,639;3,601;3,589;3,604;3,589;3,575;3,567;3,511;3,464;3,481;3,462;3,439;3,463;3,445;3,395;3,368;3,371;3,358;3,351;3,346;3,312;3,316;3,361;3,309;3,263;3,272;3,256;3,246;3,227;3,205;3,17;3,15;3,154;3,176;3,14;3,089;3,098;3,122;3,087;3,057;3,059;3,027;3,018;3,02;2,975;2,978;2,997;2,969;2,957;2,969;2,964;2,929;2,907;2,919;2,907;2,875;2,862;2,85;2,838;2,866;2,859;2,827;2,796;2,804;2,853;2,824;2,782;2,742;2,724;2,765;2,791;2,736;2,677;2,716;2,735;2,685;2,683;2,711;2,694;2,667;2,635;2,659;2,716;2,684;2,627;2,636;2,645;2,595;2,534;2,532;2,595;2,64;2,582;2,548;2,59;2,576;2,537;2,516;2,493;2,48;2,51;2,527;2,463;2,426;2,467
137;1911457;DIP_B_19;Orígens Llobregat, DIP_B_19;DIP_B_19/ Dipòsit Central Relleu - Armari (Orígens Llobregat);48,767;49,78;49,473;46,839;43,347;40,648;38,973;37,32;34,478;29,782;23,966;19,217;16,222;13,662;11,255;9,646;8,74;8,191;7,865;7,593;7,376;7,219;7,099;7,02;6,912;6,794;6,729;6,672;6,597;6,516;6,431;6,373;6,331;6,275;6,205;6,142;6,096;6,056;6,024;5,963;5,886;5,826;5,772;5,72;5,66;5,582;5,512;5,455;5,409;5,361;5,307;5,253;5,211;5,169;5,12;5,068;5,03;5,014;4,973;4,919;4,888;4,896;4,862;4,834;4,822;4,755;4,687;4,652;4,64;4,619;4,61;4,59;4,565;4,581;4,588;4,56;4,552;4,537;4,512;4,508;4,48;4,483;4,473;4,389;4,288;4,222;4,191;4,157;4,094;4,06;4,052;4,017;3,986;3,973;3,947;3,906;3,898;3,881;3,859;3,846;3,817;3,787;3,763;3,767;3,751;3,705;3,662;3,641;3,638;3,635;3,621;3,586;3,57;3,585;3,57;3,555;3,55;3,493;3,443;3,463;3,442;3,416;3,446;3,429;3,377;3,351;3,353;3,336;3,33;3,326;3,29;3,297;3,341;3,287;3,241;3,251;3,236;3,223;3,206;3,189;3,151;3,13;3,134;3,155;3,114;3,07;3,082;3,103;3,068;3,036;3,036;3,003;2,996;3;2,954;2,957;2,977;2,948;2,935;2,945;2,94;2,907;2,884;2,898;2,89;2,856;2,842;2,83;2,818;2,848;2,839;2,805;2,775;2,78;2,826;2,798;2,761;2,725;2,706;2,742;2,768;2,715;2,658;2,694;2,71;2,665;2,661;2,685;2,672;2,65;2,611;2,633;2,696;2,662;2,603;2,611;2,621;2,573;2,511;2,508;2,574;2,62;2,562;2,523;2,566;2,552;2,51;2,495;2,474;2,453;2,485;2,51;2,442;2,401;2,444
138;1911499;434;Badía del Vallès, punt 434;434 / Parking entre Avd. Mediterrania i autopista - davant Escola F.P. (boca);42,499;41,25;39,528;36,668;33,181;29,79;26,746;23,737;20,82;18,036;15,358;13,281;11,967;10,908;9,91;9,204;8,768;8,451;8,231;8,021;7,83;7,683;7,558;7,466;7,346;7,216;7,138;7,068;6,982;6,892;6,799;6,732;6,678;6,612;6,531;6,456;6,394;6,34;6,296;6,22;6,131;6,058;5,99;5,927;5,858;5,772;5,695;5,631;5,578;5,524;5,465;5,406;5,357;5,307;5,254;5,193;5,149;5,128;5,082;5,024;4,987;4,991;4,95;4,92;4,903;4,829;4,758;4,72;4,706;4,683;4,671;4,648;4,622;4,636;4,642;4,617;4,609;4,59;4,565;4,561;4,532;4,534;4,526;4,439;4,336;4,273;4,242;4,209;4,146;4,109;4,101;4,067;4,037;4,022;3,993;3,954;3,945;3,927;3,905;3,892;3,865;3,835;3,809;3,814;3,796;3,749;3,707;3,687;3,684;3,68;3,666;3,629;3,613;3,629;3,614;3,597;3,592;3,534;3,485;3,507;3,484;3,459;3,49;3,472;3,42;3,394;3,395;3,376;3,371;3,366;3,331;3,339;3,382;3,327;3,282;3,292;3,279;3,265;3,246;3,229;3,193;3,17;3,174;3,195;3,151;3,11;3,124;3,145;3,111;3,077;3,076;3,043;3,035;3,039;2,996;2,998;3,021;2,992;2,975;2,985;2,978;2,944;2,922;2,938;2,934;2,897;2,877;2,871;2,86;2,89;2,876;2,841;2,818;2,822;2,863;2,836;2,799;2,766;2,749;2,78;2,804;2,752;2,696;2,733;2,752;2,707;2,701;2,721;2,709;2,692;2,652;2,667;2,731;2,701;2,641;2,65;2,659;2,611;2,551;2,552;2,616;2,66;2,598;2,559;2,604;2,591;2,55;2,536;2,515;2,492;2,522;2,549;2,483;2,44;2,481
139;1911035;208-29;Sant Just Desvern, 208-29;208-29/ Armari mostreig Crta. Plana Padrosa - Mimoses (Sant Just Desvern);49,042;50,051;49,715;47,128;43,713;41,092;39,519;38,031;35,365;30,713;24,781;19,896;16,804;14,151;11,652;9,98;9,037;8,466;8,129;7,847;7,625;7,467;7,34;7,255;7,142;7,022;6,955;6,894;6,817;6,734;6,649;6,59;6,544;6,485;6,413;6,347;6,296;6,254;6,219;6,152;6,073;6,01;5,952;5,897;5,833;5,753;5,681;5,62;5,572;5,523;5,467;5,411;5,366;5,322;5,274;5,219;5,179;5,163;5,123;5,068;5,035;5,043;5,006;4,98;4,967;4,892;4,821;4,787;4,775;4,754;4,744;4,72;4,693;4,709;4,715;4,687;4,677;4,658;4,633;4,631;4,601;4,601;4,593;4,504;4,399;4,335;4,302;4,27;4,208;4,171;4,164;4,129;4,095;4,08;4,053;4,013;4,005;3,985;3,962;3,948;3,922;3,891;3,864;3,87;3,85;3,803;3,761;3,743;3,738;3,734;3,719;3,68;3,662;3,681;3,668;3,65;3,644;3,584;3,536;3,559;3,533;3,506;3,538;3,522;3,468;3,443;3,442;3,422;3,419;3,412;3,378;3,386;3,428;3,374;3,329;3,338;3,323;3,31;3,292;3,274;3,237;3,213;3,218;3,236;3,192;3,154;3,166;3,185;3,151;3,119;3,116;3,083;3,075;3,079;3,037;3,039;3,062;3,031;3,012;3,023;3,017;2,983;2,96;2,977;2,973;2,93;2,913;2,911;2,896;2,922;2,91;2,875;2,853;2,857;2,892;2,868;2,835;2,801;2,783;2,816;2,84;2,793;2,734;2,764;2,784;2,739;2,733;2,757;2,742;2,725;2,681;2,696;2,768;2,736;2,672;2,678;2,689;2,644;2,585;2,583;2,644;2,689;2,627;2,588;2,641;2,627;2,579;2,565;2,545;2,521;2,551;2,581;2,513;2,47;2,511
